t_index term df
1 aan 1
2 aaron 2
3 ab 1
4 aback 1
5 abahd 1
6 abandon 37
7 abat 1
8 abc 49
9 abccom 1
10 abcnewscom 3
11 abdallah 2
12 abdel 3
13 abdomin 2
14 abduct 2
15 abdul 5
16 abdulkarim 11
17 abdullah 40
18 abdurahman 1
19 aberr 1
20 abhad 1
21 abhiyan 1
22 abhorr 2
23 abid 7
24 abidjan 36
25 abijan 1
26 abil 32
27 abl 105
28 ablaz 3
29 abnorm 1
30 aboard 93
31 abobo 3
32 abolish 4
33 abomin 1
34 abort 7
35 abou 1
36 abound 4
37 about 1
38 abovo 1
39 abraham 10
40 abreast 1
41 abrego 1
42 abroad 52
43 abrog 2
44 abrupt 1
45 abruptli 4
46 abscam 1
47 absenc 6
48 absent 4
49 absente 7
50 absentia 3
51 absolut 43
52 absorb 9
53 abstain 1
54 abstent 1
55 absurd 2
56 abu 7
57 abund 2
58 abus 28
59 abuseofpow 1
60 abuzaakouk 1
61 abyan 1
62 abyssinian 1
63 academ 6
64 academi 4
65 academia 1
66 acced 1
67 acceler 4
68 accent 2
69 accentu 2
70 accept 124
71 access 41
72 accid 32
73 accident 3
74 accommod 11
75 accompani 33
76 accomplic 5
77 accomplish 10
78 accord 145
79 accordingli 1
80 accordion 1
81 account 125
82 accredit 1
83 accumul 2
84 accur 14
85 accuraci 1
86 accus 131
87 accustom 2
88 ace 27
89 acerb 2
90 achiev 31
91 acid 2
92 acknowledg 55
93 acolyt 1
94 acosta 1
95 acquaint 1
96 acquiesc 1
97 acquir 5
98 acquisit 1
99 acquit 5
100 acquitt 3
101 acr 1
102 acrimoni 2
103 acrobat 5
104 acronym 1
105 across 119
106 acrosstheboard 1
107 act 135
108 action 94
109 actionc 1
110 activ 89
111 activist 19
112 actor 4
113 actress 2
114 actual 66
115 ad 119
116 adam 8
117 adapt 5
118 add 18
119 addali 1
120 adden 1
121 addit 74
122 address 64
123 adem 1
124 aden 169
125 adenabyan 5
126 adenbas 1
127 adequ 7
128 adher 4
129 adiksa 1
130 adjac 4
131 adjam 2
132 adjoin 3
133 adjourn 3
134 adjust 7
135 adlai 1
136 adm 44
137 admen 1
138 administ 9
139 administr 115
140 administrationmedi 1
141 admir 38
142 admiralti 1
143 admiringli 1
144 admiss 2
145 admit 40
146 ado 2
147 adob 1
148 adolesc 2
149 adopt 17
150 adorn 1
151 adoubi 1
152 adra 1
153 adrain 1
154 adrenalin 1
155 adriat 1
156 adrift 4
157 adult 10
158 advanc 66
159 advani 1
160 advantag 21
161 adventist 1
162 adventur 2
163 advers 2
164 adversari 2
165 advertis 12
166 advic 6
167 advis 83
168 advisor 10
169 advisori 2
170 advoc 13
171 advocaci 2
172 aegi 5
173 aerial 3
174 aeroflot 1
175 affabl 1
176 affair 48
177 affect 29
178 affection 1
179 affili 6
180 affirm 6
181 afflict 1
182 afford 7
183 affront 2
184 afghan 15
185 afghanarab 1
186 afghanbas 3
187 afghanistan 46
188 afi 2
189 afibia 1
190 afield 1
191 afir 2
192 aflcio 2
193 afloat 13
194 afoul 1
195 afraid 28
196 afredo 1
197 africa 65
198 african 48
199 africanamerican 1
200 aft 3
201 aftehock 1
202 aftermath 14
203 afternoon 59
204 aftershock 43
205 afterward 13
206 afundament 1
207 agarw 1
208 agassi 47
209 agbayani 1
210 age 35
211 agenc 117
212 agenda 14
213 agent 83
214 agglomer 1
215 aggrav 12
216 aggress 24
217 agil 1
218 agit 1
219 ago 207
220 agon 6
221 agoni 3
222 agonizingli 1
223 agre 77
224 agreement 49
225 agricultur 15
226 agustin 1
227 ah 1
228 aha 1
229 ahead 53
230 ahemdabad 1
231 ahm 15
232 ahmad 1
233 ahmadabad 2
234 ahmar 1
235 ahmedabad 20
236 ahold 1
237 ahren 1
238 ai 1
239 aid 158
240 aida 2
241 ail 5
242 ailment 1
243 aim 35
244 ainst 1
245 air 170
246 aircondition 1
247 aircraft 27
248 airdrop 2
249 airfield 1
250 airforc 1
251 airlift 4
252 airlin 6
253 airlock 1
254 airman 1
255 airmen 11
256 airplan 7
257 airport 49
258 airqual 1
259 airstrik 4
260 airtim 2
261 airtoair 1
262 airtraff 1
263 airwav 1
264 airway 3
265 aisl 3
266 aj 1
267 ajax 1
268 ajnar 3
269 akaka 2
270 akan 2
271 akin 3
272 akishio 1
273 akouedo 1
274 al 75
275 ala 4
276 alabama 5
277 alabidin 4
278 alahmar 1
279 alain 1
280 alami 1
281 alamoudi 1
282 alan 5
283 alarm 19
284 alasan 1
285 alaska 3
286 alaskan 1
287 alassan 27
288 alayyam 1
289 albadawi 1
290 albani 1
291 albania 1
292 albanian 18
293 albanianamerican 1
294 albeit 4
295 albert 1
296 alberto 66
297 albright 47
298 album 1
299 alce 3
300 alcohol 5
301 alehandr 1
302 alejandro 14
303 aleksa 1
304 aleksandar 6
305 aler 1
306 alert 62
307 alessio 4
308 alex 10
309 alexa 2
310 alexand 9
311 alexandria 1
312 alexei 1
313 alexeyev 1
314 alexsand 1
315 alfadhli 1
316 alfonso 1
317 alfr 2
318 alfredo 1
319 algama 1
320 algamaa 2
321 algeria 3
322 algerian 5
323 algerin 1
324 alghashmi 1
325 alhadith 1
326 alhamdi 1
327 alharazi 2
328 alhassan 1
329 ali 44
330 alia 2
331 alibi 1
332 alien 3
333 alight 1
334 align 5
335 alija 1
336 alik 9
337 aliryani 11
338 alisan 2
339 alisha 1
340 alislamiya 2
341 alislaymiyya 1
342 aliv 84
343 aljazeera 3
344 aljefri 1
345 aljihad 1
346 alkhamri 1
347 allafricacom 1
348 allah 1
349 allahabad 2
350 allahbad 1
351 allan 1
352 alleg 72
353 allegedli 23
354 allegi 1
355 allen 22
356 allentown 1
357 alley 2
358 alleyway 3
359 allfranc 1
360 allfrench 2
361 alli 86
362 allianc 10
363 allimport 1
364 alliz 1
365 allnight 2
366 allot 1
367 allow 133
368 allparti 1
369 allstar 1
370 alltim 1
371 allud 2
372 allus 5
373 allwilliam 1
374 alma 1
375 almagor 1
376 almasri 2
377 almegrahi 1
378 almidhar 2
379 almihdar 3
380 almost 118
381 almuhajiroun 3
382 almusawah 3
383 alnaderi 2
384 alnahdi 1
385 alnizali 1
386 alomeri 1
387 alon 39
388 along 118
389 alongsid 39
390 alou 1
391 alowhali 1
392 alpha 2
393 alphabet 3
394 alpin 1
395 alqadhi 2
396 alqaeda 1
397 alqaida 3
398 alreadi 164
399 alribat 1
400 alshahrani 3
401 alsharia 1
402 alsharjani 1
403 alsharq 1
404 alshueib 1
405 also 477
406 alter 8
407 altern 20
408 although 83
409 altitud 1
410 altogeth 4
411 aluminum 2
412 alun 6
413 alwadi 1
414 alway 93
415 alzawahri 2
416 alzindani 1
417 amad 3
418 amanda 17
419 amarillo 2
420 amartej 3
421 amaru 4
422 amass 4
423 amateur 2
424 amaz 10
425 amazingli 1
426 ambassador 47
427 ambersag 1
428 ambigu 1
429 ambit 8
430 ambiti 2
431 ambival 2
432 ambul 11
433 ambush 1
434 ameli 6
435 amend 2
436 amerasian 1
437 america 128
438 american 341
439 americanislam 1
440 americanl 1
441 americanstatesman 1
442 americanyemeni 1
443 americorp 1
444 amh 1
445 ami 2
446 amiabl 2
447 amic 1
448 amid 51
449 amidship 2
450 amin 1
451 amit 1
452 amman 2
453 ammo 1
454 ammonium 1
455 ammunit 22
456 amnesia 2
457 amnesti 2
458 among 182
459 amongst 2
460 amount 30
461 amp 5
462 amphibi 3
463 ampl 2
464 ampli 1
465 amplifi 1
466 amput 12
467 ana 7
468 anacostia 1
469 analges 1
470 analog 1
471 analysi 9
472 analyst 38
473 analyz 5
474 anarch 2
475 anathema 1
476 anatoli 8
477 anca 4
478 ancestor 3
479 ancestr 25
480 ancestri 1
481 anchor 8
482 anchorag 2
483 anchorman 3
484 ancient 4
485 andean 6
486 anderson 4
487 andi 5
488 andjelkov 1
489 andoslavia 1
490 andov 1
491 andr 48
492 andrea 14
493 andrei 2
494 andrew 15
495 andrik 1
496 anew 7
497 angel 13
498 anger 46
499 angl 12
500 anglican 1
501 angri 27
502 angrili 4
503 anguish 8
504 anim 2
505 animist 2
506 animos 11
507 anjana 1
508 anjar 6
509 anjay 1
510 ank 2
511 ankl 8
512 ankledeep 1
513 ann 11
514 anna 21
515 annabel 1
516 annacon 1
517 annan 13
518 anniversari 15
519 announc 164
520 annoy 2
521 annual 18
522 annul 11
523 anomali 1
524 anonym 63
525 anoth 263
526 answer 48
527 antagon 1
528 antasiaovich 1
529 antenna 2
530 anthem 6
531 anthoni 27
532 anthropologist 2
533 anti 1
534 antiaircraft 2
535 antiamerican 16
536 antiballist 2
537 antibiot 5
538 antibush 1
539 anticastro 1
540 anticip 17
